player,debut,last_game,pos,teams,nickname,lastname,firstname
C. Casey Jones,1940,1955,Catcher,Memphis Red Sox,NA,Jones,C. Casey
Collins Jones,1943,1945,Infielder,"
Cincinnati Clowns, Harrisburg–St. Louis Stars, Birmingham Black Barons
",NA,Jones,Collins
Hal Jones,1956,1956,Outfielder,Kansas City Monarchs,NA,Jones,Hal
Johnny Jones,1922,1932,Outfielder,"
Detroit Stars, Indianapolis ABCs, Philadelphia Bacharach Giants
",NA,Jones,Johnny
Mint Jones,1937,1941,First baseman,"
Jacksonville Red Caps, Cleveland Bears
",NA,Jones,Mint
Ralph Waldo Emerson Jones,19__,19__,,,NA,Jones,Ralph Waldo
Rookie Jones,1932,1932,Outfielder,Memphis Red Sox,NA,Jones,Rookie
Ruben Jones,1923,1934,"
Outfielder / Manager
","
Birmingham Black Barons, Indianapolis ABCs, Birmingham Black Barons, Chicago American Giants, Cleveland Red Sox
",NA,Jones,Ruben
Sam Jones,1947,1948,Pitcher,Cleveland Buckeyes,NA,Jones,Sam
Stuart  Jones,1932,1938,Pitcher,"
Baltimore Black Sox, Philadelphia Stars
","""Slim""",Jones,Stuart
Will Jones,1915,1920,Catcher,"
Louisville White Sox, Chicago American Giants, Chicago Giants, St. Louis Giants
",NA,Jones,Will
Willie Jones,1922,1930,Catcher,"
Bacharach Giants, Hilldale Club
",NA,Jones,Willie
Willis Jones,1895,1909,Outfielder,"
Chicago Unions, Chicago Union Giants, St. Paul Colored Gophers, Minneapolis Keystones
",NA,Jones,Willis
Hen Jordan,1922,1925,Catcher,Harrisburg Giants,NA,Jordan,Hen
Larnie Jordan,1936,1942,Shortstop,"
Philadelphia Bacharach Giants, Philadelphia Stars, New York Black Yankees
",NA,Jordan,Larnie
Robert Jordan,1903,1907,First baseman,"
Cuban X-Giants, Philadelphia Giants, Brooklyn Royal Giants
",NA,Jordan,Robert
Newt Joseph,1922,1939,"
Third baseman / Manager
","
Kansas City Monarchs, All Nations, Gilkerson's Union Giants
",NA,Joseph,Newt
Wilson Joseph,1924,1925,Infielder,"
Indianapolis ABCs, Cleveland Browns, Birmingham Black Barons
",NA,Joseph,Wilson
José Junco,1911,1922,Pitcher,"
Cuban Stars (East), Cuban Stars (West)
",NA,Junco,José
Eli Juran,1923,1932,"
Pitcher / First baseman
","
Birmingham Black Barons, Newark Stars, Washington Pilots, Hilldale Club, Baltimore Black Sox
",NA,Juran,Eli
Charley Justice,1932,1937,Outfielder,"
Cleveland Giants, Detroit Stars
",NA,Justice,Charley
Cecil Kaiser,1945,1949,Pitcher,"
Homestead Grays, Pittsburgh Crawfords, Mexican League
",NA,Kaiser,Cecil
Eugene Keeton,1922,1926,Pitcher,"
Cleveland Tate Stars, Dayton Marcos
",NA,Keeton,Eugene
Palmer Kelley,1916,1917,Pitcher,"
Chicago Giants, Chicago Union Giants
",NA,Kelley,Palmer
León Kellman,1946,1950,Catcher,"
Cleveland Buckeyes, Memphis Red Sox, Indianapolis Clowns
",NA,Kellman,León
William Kelly,1944,1945,Catcher,New York Black Yankees,NA,Kelly,William
Ed Kemp,1922,1924,Outfielder,"Philadelphia Royal Stars, Baltimore Black Sox, Lincoln Giants
",NA,Kemp,Ed
Gabby Kemp,1937,1941,"
Second baseman / Manager
","
Atlanta Black Crackers, Jacksonville Red Caps
",NA,Kemp,Gabby
John Kemp,1920,1928,Outfielder,"
Birmingham Black Barons, Memphis Red Sox
",NA,Kemp,John
Dan Kennard,1913,1925,Catcher,"French Lick Plutos, West Baden Sprudels, Chicago American Giants, Indianapolis ABCs, Chicago Black Sox, St. Louis Giants, St. Louis Stars, Detroit Stars
",NA,Kennard,Dan
John Kennedy,1954,1956,Shortstop,"
Birmingham Black Barons, Kansas City Monarchs
",NA,Kennedy,John
Harry Kenyon,1917,1929,Pitcher,"Texas All Stars, Brooklyn Royal Giants, Indianapolis ABCs, Hilldale Club, Chicago American Giants, New York Lincoln Giants, Detroit Stars, Memphis Red Sox, Kansas City Monarchs
",NA,Kenyon,Harry
Robert Keyes,1941,1945,Pitcher,"
Memphis Red Sox, Philadelphia Stars
",NA,Keyes,Robert
Henry Kimbro,1937,1950,"
Outfielder / Manager
","
Washington Elite Giants, Baltimore Elite Giants, New York Black Yankees, Birmingham Black Barons
",NA,Kimbro,Henry
Ted Kimbro,1914,1918,Infielder,"
West Baden Sprudels, Louisville White Sox, St. Louis Giants, Lincoln Giants, Hilldale Club
",NA,Kimbro,Ted
Larry Kimbrough,1942,1947,Pitcher,"
Homestead Grays, Philadelphia Stars
",NA,Kimbrough,Larry
Harry Kincannon,1924,1925,Pitcher,"
Pittsburgh Crawfords, New York Black Yankees, Washington Black Senators, Toledo Crawfords
",NA,Kincannon,Harry
Bill Kindle,1911,1920,Infielder,"
Brooklyn Royal Giants, West Baden Sprudels, Chicago American Giants, Indianapolis ABCs, Brooklyn All Stars, Lincoln Stars, Lincoln Giants
",NA,Kindle,Bill
Dolly King,1944,1948,Outfielder,"
Chicago American Giants, Cleveland Buckeyes, New York Black Yankees, Homestead Grays
",NA,King,Dolly
Hal King,1962,1964,Catcher,Indianapolis Clowns,NA,King,Hal
Richard King,1943,1948,First baseman,Cincinnati/Indianapolis Clowns,NA,King,Richard
Wilbert King,1944,1947,Second baseman,"
New York Black Yankees, Cleveland Buckeyes, Chicago American Giants, Homestead Grays
",NA,King,Wilbert
Eddie Klep,1946,1946,Pitcher,Cleveland Buckeyes,NA,Klep,Eddie
Dave Knight,1930,1931,Pitcher,Chicago American Giants,NA,Knight,Dave
Floyd Kranson,1935,1940,Pitcher,"
Kansas City Monarchs, Chicago American Giants
",NA,Kranson,Floyd
Obie Lackey,1929,1943,Infielder,"
Homestead Grays, Hilldale Club, Brooklyn Royal Giants, Bacharach Giants, Baltimore Black Sox, Pittsburgh Crawfords, Philadelphia Stars, New York Black Yankees
",NA,Lackey,Obie
Raymon Lacy,1947,1949,,"
Homestead Grays, Houston Eagles
",NA,Lacy,Raymon
Clarence Lamar,1937,1944,Shortstop,"
St. Louis Stars, Birmingham Black Barons, Jacksonville Red Caps, Cleveland Bears, Cincinnati Clowns
",NA,Lamar,Clarence
Jim LaMarque,1942,1949,Pitcher,Kansas City Monarchs,NA,LaMarque,Jim
Bill Land,1908,1913,Outfielder,"
Brooklyn Royal Giants, Cuban Giants
",NA,Land,Bill
Alto Lane,1929,1934,,"
Memphis Red Sox, Indianapolis ABCs, Kansas City Monarchs, Cincinnati Tigers
",NA,Lane,Alto
Isaac Lane,1918,1922,Third baseman,"
Dayton Marcos, Columbus Buckeyes, Detroit Stars
",NA,Lane,Isaac
Ad Lankford,1912,1920,Pitcher,"
St. Louis Giants, Philadelphia Giants, Lincoln Stars, Lincoln Giants, Brooklyn Royal Giants, Pennsylvania Red Caps of New York
",NA,Lankford,Ad
Wilbur Lansing,1948,1950,Pitcher,Newark/Houston Eagles,NA,Lansing,Wilbur
Duke Lattimore,1929,1933,Catcher,"
Baltimore Black Sox, Columbus Blue Birds 
",NA,Lattimore,Duke
Milt Laurent,1921,1937,Outfielder,"
New Orleans Crescent Stars, New Orleans Ads, New Orleans Black Pelicans, Nashville Elite Giants, Memphis Red Sox, Birmingham Black Barons, Cleveland Cubs
",NA,Laurent,Milt
Agapito Lázaga,1916,1922,First baseman,"
Cuban Stars (East), Cuban Stars (West)
",NA,Lázaga,Agapito
José Leblanc,1912,1921,Pitcher,"
Almendares, Philadelphia Giants, Cuban Stars (West)
",NA,Leblanc,José
Scrip Lee,1922,1934,Pitcher,"
Baltimore Black Sox, Hilldale Daisies, Atlantic City Bacharach Giants, Philadelphia Giants, Philadelphia Stars
",NA,Lee,Scrip
Willie James Lee,1956,1958,Pitcher,"
Birmingham Black Barons, Kansas City Monarchs
",NA,Lee,Willie James
Larry LeGrande,1957,1959,Catcher,"
Memphis Red Sox, Detroit Stars, Kansas City Monarchs
",NA,LeGrande,Larry
Frank Leland,1887,1912,"
Outfielder / Manager
","
Chicago Unions, Chicago Union Giants, Leland Giants, Chicago Giants
",NA,Leland,Frank
Izzy León,1948,1948,Pitcher,New York Cubans,NA,León,Izzy
Bobo Leonard,1921,1928,Outfielder,"
Cleveland Tate Stars, Cleveland Browns, Chicago American Giants, Lincoln Giants, Indianapolis ABCs, Baltimore Black Sox, Bacharach Giants, Cleveland Elites, Cleveland Hornets, Homestead Grays
",NA,Leonard,Bobo
Buck Leonard,1933,1950,"
First baseman / Outfielder
","
Brooklyn Royal Giants, Homestead Grays
",NA,Leonard,Buck
Oscar Levis,1921,1932,Pitcher,"
Cuban Stars (East), Hilldale Club
",NA,Levis,Oscar
Clarence Lewis,1932,1934,Shortstop,"
Memphis Red Sox, Pittsburgh Crawfords, Akron Grays, Cleveland Giants, Homestead Grays, Cleveland Red Sox, Nashville Elite Giants
",NA,Lewis,Clarence
Joe  Lewis,1920,1937,Catcher,"
Baltimore Black Sox, Washington Potomacs, Hilldale Club, Bacharach Giants, Lincoln Giants, Brooklyn Royal Giants
","""Sleepy""",Lewis,Joe
Milton Lewis,1922,1928,Second baseman,"
Richmond Giants, Harrisburg Giants, Bacharach Giants, Wilmington Potomacs, Lincoln Giants
",NA,Lewis,Milton
Rufus Lewis,1936,1948,Pitcher,"
Pittsburgh Crawfords, Newark Eagles
",NA,Lewis,Rufus
Rufus Ligon,1932,1945,Pitcher,"
Little Rock Grays, Memphis Red Sox
",NA,Ligon,Rufus
Joe Lillard,1932,1937,Pitcher,Chicago American Giants,NA,Lillard,Joe
Rogelio Linares,1940,1946,Outfielder,New York Cubans,NA,Linares,Rogelio
Clarence  Lindsay,1920,1929,Shortstop,"
Lincoln Giants, Richmond Giants, Baltimore Black Sox, Washington Potomacs, Hilldale Club, Bacharach Giants
","""Red""",Lindsay,Clarence
Leonard Lindsay,1935,1946,First baseman,"
Newark Dodgers, Cincinnati Clowns, Birmingham Black Barons, Indianapolis Clowns
",NA,Lindsay,Leonard
William  Lindsay,1909,1914,Pitcher,"Kansas City, Kansas Giants, Leland Giants, Chicago American Giants
","""Bill""",Lindsay,William
William Lindsay,1931,1934,Shortstop,"
Atlantic City Bacharach Giants, Washington Pilots
",NA,Lindsay,William
William Little,1952,1957,Catcher,"
Memphis Red Sox, Kansas City Monarchs
",NA,Little,William
Ben Littles,1948,1950,Outfielder,"
New York Black Yankees, Philadelphia Stars
",NA,Littles,Ben
L. D. Livingston,1928,1932,Outfielder,"
Kansas City Monarchs, New York Black Yankees, Pittsburgh Crawfords
",NA,Livingston,L.
Anthony Lloyd,1959,1959,Second baseman,Birmingham Black Barons,NA,Lloyd,Anthony
John Henry Lloyd,1906,1932,"
Shortstop / Manager
","
Philadelphia Giants, New York Lincoln Giants, Chicago American Giants, Brooklyn Royal Giants, Atlantic City Bacharach Giants, among several others",NA,Lloyd,John Henry
Clarence  Locke,1945,1948,Pitcher,Chicago American Giants,"""Dad""",Locke,Clarence
Eddie Locke,1943,1950,Outfielder,"
Cincinnati Clowns, Kansas City Monarchs, New York Black Yankees
",NA,Locke,Eddie
Lester Lockett,1938,1950,Outfielder,"
Birmingham Black Barons, Cincinnati Buckeyes, Chicago American Giants, Indianapolis Clowns, Baltimore Elite Giants
",NA,Lockett,Lester
Hubert Lockhart,1923,1929,Pitcher,"
Bacharach Giants, Chicago American Giants
",NA,Lockhart,Hubert
Nick Logan,1921,1923,Pitcher,Baltimore Black Sox,NA,Logan,Nick
Carl Long,1952,1953,Outfielder,Birmingham Black Barons,NA,Long,Carl
Earnest Long,1948,1950,Pitcher,Cleveland Buckeyes,NA,Long,Earnest
Emory Long,1932,1940,Infielder,"
Atlanta Black Crackers, Memphis Red Sox, Indianapolis Athletics, Washington Black Senators, Philadelphia Stars
",NA,Long,Emory
Fred T. Long,1920,1926,Outfielder,"
Detroit Stars, Indianapolis ABCs
",NA,Long,Fred
Barney Longest,1946,1947,Infielder,Chicago American Giants,NA,Longest,Barney
Red Longley,1934,1951,Outfielder,"
Washington Elite Giants, Memphis Red Sox, New Orleans Eagles
",NA,Longley,Red
Alonzo Longware,1920,1920,Third baseman,"
Indianapolis ABCs, Detroit Stars
",NA,Longware,Alonzo
Cando López,1926,1939,Outfielder,"
Cuban Stars (West), Cuban Stars (East), New York Cubans
",NA,López,Cando
Jesús Lorenzo,1929,1930,Pitcher,Cuban Stars (West),NA,Lorenzo,Jesús
Lou Louden,1942,1948,Catcher,"
New York Cubans, Birmingham Black Barons
",NA,Louden,Lou
Andrew Love,1930,1932,"
Outfielder / First baseman
","
Detroit Stars, Washington Pilots
",NA,Love,Andrew
Kid Lowe,1921,1931,Third baseman,"
Detroit Stars, Indianapolis ABCs, Memphis Red Sox, Nashville Elite Giants
",NA,Lowe,Kid
Dick Lundy,1916,1948,"
Infielder / Manager
","
Atlantic City Bacharach Giants, Hilldale Daisies, Baltimore Black Sox, Newark Dodgers, Newark Eagles, among several others",NA,Lundy,Dick
Dolf Luque,1912,1912,Pitcher,Cuban Stars (West),NA,Luque,Dolf
John Lyles,1932,1943,Infielder,"
Indianapolis ABCs, Homestead Grays, Cleveland Bears, New Orleans–St. Louis Stars, Cincinnati Buckeyes, Cleveland Buckeyes
",NA,Lyles,John
James Lynch,1912,1918,Outfielder,"
French Lick Plutos, West Baden Sprudels, Indianapolis ABCs, Dayton Marcos
",NA,Lynch,James
Granville Lyons,1931,1942,First baseman,"
Nashville Elite Giants, Louisville Black Caps, Indianapolis ABCs, Philadelphia Stars, Memphis Red Sox, Baltimore Elite Giants
",NA,Lyons,Granville
Jimmie Lyons,1910,1925,"
Outfielder / Manager
","
St. Louis Giants, New York Lincoln Giants, Indianapolis ABCs, Chicago Giants, Chicago American Giants, among several others",NA,Lyons,Jimmie
Clarence Lytle,1901,1911,Pitcher,"
Chicago Union Giants, St. Paul Colored Gophers
",NA,Lytle,Clarence
Lee Mabon,1958,1960,Shortstop,Indianapolis Clowns,NA,Mabon,Lee
Biz Mackey,1920,1950,"
Catcher / Manager
","
Indianapolis ABCs, New York Lincoln Giants, Hilldale Daisies, Philadelphia Royal Giants, Washington Elite Giants, Baltimore Elite Giants, Philadelphia Stars, Newark Dodgers, Newark Eagles
",NA,Mackey,Biz
Raydell Maddix,1947,1953,Pitcher,Indianapolis Clowns,NA,Maddix,Raydell
Bob Madison,1935,1942,Pitcher,"
Kansas City Monarchs, Memphis Red Sox, Birmingham Black Barons
",NA,Madison,Bob
José Magriñat,1906,1916,Outfielder,"
Cuban X-Giants, Cuban Stars (West), All Cubans
",NA,Magriñat,José
William Makell,1943,1944,Catcher,"
Baltimore Elite Giants, Newark Eagles
",NA,Makell,William
Tony Mahoney,1921,1923,Pitcher,"
Brooklyn Royal Giants, Indianapolis ABCs, Baltimore Black Sox
",NA,Mahoney,Tony
Dave Malarcher,1916,1934,"
Third baseman / Manager
","
Indianapolis ABCs, Detroit Stars, Chicago American Giants, Chicago Columbia Giants, Cole's American Giants
",NA,Malarcher,Dave
William Malone,1887,1897,Pitcher,"
Philadelphia Pythians, Cuban Giants, York Monarchs, New York Gorhams
",NA,Malone,William
Max Manning,1938,1949,Pitcher,Newark Eagles,NA,Manning,Max
Joseph Marbury,1957,1958,Outfielder,Indianapolis Clowns,NA,Marbury,Joseph
Rendon Marbury,1956,1958,Infielder,"
Birmingham Black Barons, Indianapolis Clowns
",NA,Marbury,Rendon
Oliver Marcell,1918,1934,Third baseman,"
Brooklyn Royal Giants, Detroit Stars, Atlantic City Bacharach Giants, New York Lincoln Giants, Baltimore Black Sox
",NA,Marcell,Oliver
Ziggy Marcell,1939,1948,Catcher,"
Kansas City Monarchs, Homestead Grays, New York Black Yankees, Chicago American Giants, Philadelphia Stars, Baltimore Elite Giants, Newark Eagles
",NA,Marcell,Ziggy
Duke Markham,1935,1936,Outfielder,Newark Dodgers/Eagles,NA,Markham,Duke
Johnny Markham,1930,1946,Pitcher,"
Kansas City Monarchs, Birmingham Black Barons, Cincinnati Crescents
",NA,Markham,Johnny
Enrique Maroto,1955,1956,Pitcher,Kansas City Monarchs,NA,Maroto,Enrique
Luis Márquez,1945,1948,Outfielder,"
New York Black Yankees, Baltimore Elite Giants, Homestead Grays
",NA,Márquez,Luis
Armando Marsans,1905,1923,Outfielder,"
All Cubans, Cuban Stars (East)
",NA,Marsans,Armando
Frank Marsh,1954,1958,First baseman,"
Birmingham Black Barons, Kansas City Monarchs
",NA,Marsh,Frank
Bobby Marshall,1906,1923,First baseman,"Minneapolis Land-Lunds, Minneapolis Keystones, St. Paul Colored Gophers, Chicago Giants, All Nations
",NA,Marshall,Bobby
Jack  Marshall,1932,1944,Second baseman,"
Chicago American Giants, Philadelphia Stars, Kansas City Monarchs, Cincinnati Clowns
","""Boisy""",Marshall,Jack
Jack  Marshall,1917,1928,Pitcher,"
Tennessee Rats, Chicago American Giants, Detroit Stars, Lincoln Giants, Kansas City Monarchs
","""Boss""",Marshall,Jack
Edward Martin,1951,1952,Pitcher,Philadelphia Stars,NA,Martin,Edward
Wilson  Martin,1925,1928,First baseman,"
Indianapolis ABCs, Detroit Stars
","""Stack""",Martin,Wilson
Horacio Martinez,1935,1947,Shortstop,New York Cubans,NA,Martinez,Horacio
Manuel Masineira,1906,1906,Catcher,Cuban Stars (West),NA,Masineira,Manuel
Charlie Mason,1922,1932,Outfielder,"
Richmond Giants, Bacharach Giants, Lincoln Giants, Newark Stars, Homestead Grays, Washington Pilots
",NA,Mason,Charlie
Hank Mason,1951,1954,Pitcher,Kansas City Monarchs,NA,Mason,Hank
Jack Matchett,1940,1945,Pitcher,"
Kansas City Monarchs, Cincinnati Clowns
",NA,Matchett,Jack
Verdell Mathis,1940,1950,Pitcher,"
Memphis Red Sox, Philadelphia Stars
",NA,Mathis,Verdell
Leroy Matlock,1929,1938,Pitcher,"
St. Louis Stars, Homestead Grays, Washington Pilots, Pittsburgh Crawfords
",NA,Matlock,Leroy
Dell Matthews,1904,1905,Pitcher,"
Chicago Union Giants, Leland Giants
",NA,Matthews,Dell
Fran Matthews,1938,1945,First baseman,Newark Eagles,NA,Matthews,Fran
Ed Mayweather,1935,1942,First baseman,"
Kansas City Monarchs, New Orleans–St. Louis Stars, New York Black Yankees
",NA,Mayweather,Ed
Willie Mays,1948,1950,Center fielder,Birmingham Black Barons,NA,Mays,Willie
Tullie McAdoo,1908,1924,First baseman,"
Kansas City Giants, St. Louis Giants, Chicago Giants, St. Louis Stars, Cleveland Browns
",NA,McAdoo,Tullie
Frank McAllister,1937,1943,Pitcher,"
Pittsburgh Crawfords, Indianapolis ABCs, St. Louis Stars, New Orleans–St. Louis Stars, New York Black Yankees, Harrisburg–St. Louis Stars
",NA,McAllister,Frank
George McAllister,1923,1934,First baseman,"
Birmingham Black Barons, Indianapolis ABCs, Detroit Stars, Chicago American Giants, Memphis Red Sox, Homestead Grays, Cleveland Red Sox
",NA,McAllister,George
Charles McBridge,1941,1941,Left fielder,Newark Eagles,NA,McBridge,Charles
Bill McCall,1922,1931,Pitcher,"
Pittsburgh Keystones, Cleveland Tate Stars, Birmingham Black Barons, Kansas City Monarchs, Chicago American Giants, Indianapolis ABCs, Detroit Stars
",NA,McCall,Bill
Henry  McCall,1936,1945,First baseman,"
Chicago American Giants, Indianapolis ABCs, Birmingham Black Barons
","""Butch""",McCall,Henry
Boots McClain,1920,1926,Infielder,"
Dayton Marcos, Indianapolis ABCs, Columbus Buckeyes, Cleveland Tate Stars, Toledo Tigers, Detroit Stars, Cleveland Browns
",NA,McClain,Boots
Jeep McClain,1945,1946,Infielder,"
Philadelphia Stars, New York Black Yankees
",NA,McClain,Jeep
Dan McClellan,1903,1930,"
Pitcher / Manager
","
Cuban X-Giants, Philadelphia Giants, Brooklyn Royal Giants, New York Lincoln Giants, Quaker Giants, Washington Potomacs
",NA,McClellan,Dan
Nathaniel McClinic,1946,1948,Outfield,"
Cleveland Buckeyes, Birmingham Black Barons
",NA,McClinic,Nathaniel
Bob  McClure,1920,1930,Pitcher,"
Indianapolis ABCs, Cleveland Tate Stars, Baltimore Black Sox, Bacharach Giants, Brooklyn Royal Giants
","""Big Boy""",McClure,Bob
Butch McCord,1947,1950,"
First baseman / Outfielder
","
Baltimore Elite Giants, Chicago American Giants
",NA,McCord,Butch
Frank McCoy,1932,1935,Catcher,"
Newark Browns, Newark Dodgers
",NA,McCoy,Frank
Walter McCoy,1945,1949,Pitcher,"
Chicago American Giants, Kansas City Monarchs
",NA,McCoy,Walter
William McCrary,1946,1947,Shortstop,Kansas City Monarchs,NA,McCrary,William
Jim McCurine,1946,1949,Outfielder,Chicago American Giants,NA,McCurine,Jim
Fred McDaniel,1942,1946,Outfielder,Memphis Red Sox,NA,McDaniel,Fred
Booker McDaniels,1941,1946,Pitcher,Kansas City Monarchs,NA,McDaniels,Booker
Gifford McDonald,1911,1921,Pitcher,"
Brooklyn Royal Giants, Philadelphia Giants, New York Colored Giants, Bacharach Giants, Lincoln Giants, Detroit Stars
",NA,McDonald,Gifford
Luther McDonald,1927,1935,Pitcher,"
St. Louis Stars, Chicago American Giants, Detroit Stars
",NA,McDonald,Luther
Webster McDonald,1920,1940,Pitcher,"
Detroit Stars, Washington Potomacs, Chicago American Giants, St. Louis Stars, Homestead Grays, Little Falls, Minnesota, Baltimore Black Sox, Hilldale Club, Washington Pilots, Philadelphia Stars
",NA,McDonald,Webster
Terris McDuffie,1930,1945,Pitcher,"
Birmingham Black Barons, Atlantic City Bacharach Giants, Cuban Stars, Hilldale Daisies, Baltimore Black Sox, Pennsylvania Red Caps of New York, Brooklyn Eagles, New York Black Yankees, Newark Eagles, Homestead Grays, Baltimore Elite Giants, Philadelphia Stars
",NA,McDuffie,Terris
J.C. McHaskell,1926,1929,Pitcher,Memphis Red Sox,NA,McHaskell,NA
Henry McHenry,1930,1951,"
Pitcher / Outfielder
","
Kansas City Monarchs, New York Harlem Stars, Newark Browns, New York Black Yankees, Philadelphia Stars, Indianapolis Clowns
",NA,McHenry,Henry
Gready McKinnis,1941,1945,Pitcher,"
Birmingham Black Barons, Chicago American Giants
",NA,McKinnis,Gready
Ira McKnight,1952,1963,Catcher,"
Memphis Red Sox, Kansas City Monarchs
",NA,McKnight,Ira
Henry McLaughlin,1912,1919,Pitcher,"
French Lick Plutos, West Baden Sprudels, Lincoln Giants
",NA,McLaughlin,Henry
Felix McLaurin,1942,1948,Outfielder,"
Jacksonville Red Caps, Birmingham Black Barons, New York Black Yankees
",NA,McLaurin,Felix
Jack McLaurin,1944,1948,Outfielder,"
Jacksonville Red Caps, Birmingham Black Barons, Newark Eagles
",NA,McLaurin,Jack
Will McMurray,1908,1915,Catcher,"
St. Paul Colored Gophers, West Baden Sprudels
",NA,McMurray,Will
Hurley McNair,1911,1937,Outfielder,"
Chicago Giants, Chicago Union Giants, Chicago American Giants, All Nations, Detroit Stars, Kansas City Monarchs, Gilkerson's Union Giants, Cincinnati Tigers
",NA,McNair,Hurley
Clyde McNeal,1945,1950,Shortstop,Chicago American Giants,NA,McNeal,Clyde
Red McNeal,1930,1932,Outfielder,"
Baltimore Black Sox, Louisville White Sox, Louisville Black Caps
",NA,McNeal,Red
Pete McQueen,1932,1937,Outfielder,"Little Rock Grays, Pittsburgh Crawfords, Memphis Red Sox
",NA,McQueen,Pete
Chick Meade,1914,1922,Infielder,"
Philadelphia Giants, Indianapolis ABCs, Hilldale Club, Baltimore Black Sox, Harrisburg Giants
",NA,Meade,Chick
Lewis Means,1920,1928,Catcher,"
Bacharach Giants, Birmingham Black Barons
",NA,Means,Lewis
Tom Means,1900,1907,Pitcher,"
Chicago Unions, Chicago Columbia Giants, Chicago Union Giants, St. Paul Colored Gophers
",NA,Means,Tom
Lico Mederos,1910,1911,Pitcher,"
Cuban Stars (West), All Cubans
",NA,Mederos,Lico
Lázaro Medina,1944,1945,Pitcher,Indianapolis–Cincinnati Clowns,NA,Medina,Lázaro
Lefty Mellix,1934,1943,Pitcher,"
Newark Dodgers, Homestead Grays
",NA,Mellix,Lefty
Babe Melton,1926,1929,Outfielder,"
Cleveland Elites, Cleveland Tigers, Lincoln Giants, Baltimore Black Sox
",NA,Melton,Babe
José Méndez,1908,1926,"
Pitcher / Manager
","
Brooklyn Royal Giants, Cuban Stars (West), All Nations, Chicago American Giants, Detroit Stars, Kansas City Monarchs
",NA,Méndez,José
Henry Merchant,1940,1954,Outfielder,"
Chicago American Giants, Cincinnati Clowns, Indianapolis Clowns
",NA,Merchant,Henry
Geechie Meredith,1920,1931,Infielder,"
Birmingham Black Barons, Memphis Red Sox, Nashville Elite Giants
",NA,Meredith,Geechie
Andrés Mesa,1948,1948,Outfielder,Indianapolis Clowns,NA,Mesa,Andrés
Pablo Mesa,1921,1927,Outfielder,Cuban Stars (East),NA,Mesa,Pablo
Deacon Meyers,1921,1926,Pitcher,"
St. Louis Giants, St. Louis Stars, Dayton Marcos
",NA,Meyers,Deacon
Stanley Miarka,1950,1950,,Chicago American Giants,NA,Miarka,Stanley
John  Miles,1946,1949,Third baseman,Chicago American Giants,"""Mule""",Miles,John
Willie Miles,1921,1929,"
Outfielder / Infielder
","
Cleveland Tate Stars, Pittsburgh Keystones, Harrisburg Giants, Cleveland Browns, St. Louis Giants, Cleveland Elites, Cleveland Hornets
",NA,Miles,Willie
Zell Miles,1937,1940,Outfielder,Chicago American Giants,NA,Miles,Zell
Bob Miller,1923,1932,Second baseman,"
Birmingham Black Barons, Memphis Red Sox, Nashville Elite Giants, Louisville Black Caps
",NA,Miller,Bob
Eddie Miller,1924,1930,Pitcher,"
Chicago American Giants, Indianapolis ABCs, Homestead Grays, Cleveland Cubs
",NA,Miller,Eddie
Hank Miller,1938,1948,Pitcher,Philadelphia Stars,NA,Miller,Hank
Hub Miller,1912,1916,Pitcher,"
West Baden Sprudels, St. Louis Giants
",NA,Miller,Hub
Joseph  Miller,1895,1906,Pitcher,"
Page Fence Giants, Columbia Giants, Chicago Union Giants, Brooklyn Royal Giants
","""Cannon Ball""",Miller,Joseph
Leroy  Miller,1934,1945,Infielder,"
Newark Dodgers, New York Black Yankees
","""Flash""",Miller,Leroy
Louis Miller,1910,1923,"
Third baseman / Manager
","
Brooklyn Royal Giants, Paterson Smart Set, Cuban Giants of Buffalo, Philadelphia Giants, New York Colored Giants, Cuban Giants, New York Lincoln Stars, Atlantic City Bacharach Giants, Baltimore Black Sox
",NA,Miller,Louis
Percy  Miller,1921,1937,Pitcher,"
Chicago Giants, St. Louis Stars, St. Louis Giants, Cleveland Elites, Kansas City Monarchs, Cleveland Hornets, Nashville Elite Giants, Cleveland Cubs, Newark Browns, Detroit Stars
","""Dimps""",Miller,Percy
Eugene Milliner,1902,1911,Outfielder,"
Chicago Union Giants, Brooklyn Royal Giants, St. Paul Colored Gophers, Kansas City Royal Giants, Kansas City Giants",NA,Milliner,Eugene
Henry Milton,1932,1940,Outfielder,"
Indianapolis ABCs, Kansas City Monarchs
",NA,Milton,Henry
Purnell Mincy,1938,1940,Pitcher,"
Pittsburgh Crawfords, Philadelphia Stars, New York Black Yankees, Newark Eagles
",NA,Mincy,Purnell
George Minor,1944,1948,Outfielder,"
Chicago American Giants, Cleveland Buckeyes
",NA,Minor,George
Minnie Miñoso,1945,1948,Third baseman,New York Cubans,NA,Miñoso,Minnie
Antonio Mirabal,1934,1940,Outfielder,"
Cuban Stars (East), New York Cubans
",NA,Mirabal,Antonio
Juanelo Mirabal,1920,1934,Pitcher,"
Birmingham Black Barons, Cuban Stars (East)
",NA,Mirabal,Juanelo
Jim Missouri,1937,1940,Pitcher,Philadelphia Stars,NA,Missouri,Jim
Alonzo Mitchell,1923,1941,"
Pitcher / Manager
","
Baltimore Black Sox, Atlantic City Bacharach Giants, Jacksonville Red Caps, Birmingham Black Barons, Atlanta Black Crackers, Indianapolis ABCs
",NA,Mitchell,Alonzo
